letter,person
263-000,john-belford
264-000,john-belford
265-000,john-belford
266-000,john-belford
267-000,john-belford
268-000,john-belford
269-000,john-belford
270-000,john-belford
271-000,john-belford
272-000,john-belford
272-001,robert-lovelace
273-000,john-belford
274-000,john-belford
275-000,john-belford
275-001,clarissa-harlowe
276-000,john-belford
277-000,john-belford
278-000,john-belford
279-000,john-belford
280-000,john-belford
281-000,john-belford
282-000,clarissa-harlowe
283-000,clarissa-harlowe
284-000,clarissa-harlowe
285-000,john-belford
286-000,robert-lovelace
287-000,john-belford
288-000,clarissa-harlowe
289-000,patrick-mcdonald
290-000,patrick-mcdonald
291-000,robert-lovelace
292-000,robert-lovelace
293-000,robert-lovelace
294-000,john-belford
295-000,annabella-howe
296-000,clarissa-harlowe
297-000,mrs-howe
298-000,hannah-burton
299-000,clarissa-harlowe
300-000,judith-norton
301-000,clarissa-harlowe
302-000,elizabeth-lawrance
303-000,clarissa-harlowe
304-000,sarah-hodges
305-000,clarissa-harlowe
306-000,elizabeth-lawrance
307-000,judith-norton
308-000,clarissa-harlowe
309-000,judith-norton
310-000,clarissa-harlowe
311-000,annabella-howe
312-000,annabella-howe
314-000,annabella-howe
316-000,clarissa-harlowe
317-000,clarissa-harlowe
318-000,annabella-howe
319-000,clarissa-harlowe
320-000,annabella-howe
321-000,john-belford
322-000,john-belford
323-000,john-belford
326-000,john-belford
327-000,clarissa-harlowe
328-000,clarissa-harlowe
329-000,charlotte-montague
330-000,john-belford
331-000,annabella-howe
332-000,annabella-howe
333-000,robert-lovelace
334-000,robert-lovelace
335-000,john-belford
336-000,robert-lovelace
337-000,robert-lovelace
338-000,robert-lovelace
339-000,robert-lovelace
340-000,robert-lovelace
341-000,john-belford
342-000,clarissa-harlowe
343-000,annabella-howe
344-000,robert-lovelace
345-000,robert-lovelace
346-000,john-belford
347-000,john-belford
350-000,john-belford
351-000,arabella-harlowe
352-000,annabella-howe
353-000,arabella-harlowe
354-000,annabella-howe
355-000,arabella-harlowe
356-000,mrs-howe
357-000,mrs-howe
358-000,clarissa-harlowe
359-000,annabella-howe
360-000,annabella-howe
361-000,clarissa-harlowe
362-000,judith-norton
363-000,arabella-harlowe
364-000,robert-lovelace
365-000,robert-lovelace
366-000,robert-lovelace
367-000,clarissa-harlowe
368-000,annabella-howe
369-000,annabella-howe
370-000,john-belford
371-000,john-belford
372-000,clarissa-harlowe
373-000,elizabeth-lawrance
374-000,clarissa-harlowe
375-000,charlotte-harlowe
376-000,judith-norton
377-000,judith-norton
378-000,clarissa-harlowe
379-000,annabella-howe
381-000,clarissa-harlowe
382-000,judith-norton
383-000,john-belford
384-000,clarissa-harlowe
385-000,robert-lovelace
386-000,elizabeth-lawrance
387-000,robert-lovelace
387-001,john-belford
388-000,clarissa-harlowe
389-000,john-belford
390-000,clarissa-harlowe
391-000,robert-lovelace
392-000,clarissa-harlowe
393-000,charlotte-harlowe
394-000,clarissa-harlowe
395-000,john-belford
396-000,john-belford
397-000,clarissa-harlowe
398-000,charlotte-montague
398-000,lord-montague
398-000,patty-montague
399-000,robert-lovelace
400-000,robert-lovelace
401-000,robert-lovelace
402-000,clarissa-harlowe
403-000,john-harlowe
404-000,clarissa-harlowe
405-000,annabella-howe
406-000,clarissa-harlowe
407-000,antony-harlowe
408-000,clarissa-harlowe
409-000,judith-norton
410-000,john-belford
411-000,robert-lovelace
412-000,john-belford
413-000,robert-lovelace
414-000,clarissa-harlowe
415-000,john-belford
416-000,john-belford
417-000,john-belford
418-000,john-belford
419-000,robert-lovelace
420-000,robert-lovelace
421-000,john-belford
421-001,robert-lovelace
422-000,john-belford
423-000,john-belford
424-000,robert-lovelace
425-000,john-belford
426-000,robert-lovelace
427-000,clarissa-harlowe
428-000,arthur-lewen
429-000,clarissa-harlowe
430-000,arabella-harlowe
431-000,clarissa-harlowe
432-000,clarissa-harlowe
433-000,judith-norton
434-000,clarissa-harlowe
435-000,annabella-howe
436-000,annabella-howe
437-000,clarissa-harlowe
438-000,alex-wyerley
439-000,john-belford
440-000,robert-lovelace
441-000,robert-lovelace
442-000,john-belford
444-000,john-harlowe
445-000,robert-lovelace
446-000,robert-lovelace
447-000,clarissa-harlowe
448-000,william-morden
449-000,john-belford
450-000,robert-lovelace
451-000,robert-lovelace
452-000,robert-lovelace
453-000,john-belford
454-000,robert-lovelace
455-000,clarissa-harlowe
456-000,clarissa-harlowe
457-000,robert-lovelace
458-000,annabella-howe
459-000,clarissa-harlowe
460-000,robert-lovelace
461-000,james-harlowe-sr
462-000,william-morden
463-000,john-belford
464-000,robert-lovelace
465-000,judith-norton
466-000,john-belford
467-000,robert-lovelace
468-000,john-walton
469-000,john-harlowe
470-000,john-belford
471-000,robert-lovelace
472-000,john-belford
473-000,robert-lovelace
473-001,clarissa-harlowe
473-002,annabella-howe
477-000,richard-mowbray
478-000,john-belford
479-000,robert-lovelace
480-000,john-belford
481-000,robert-lovelace
482-000,robert-lovelace
483-000,clarissa-harlowe
484-000,clarissa-harlowe
485-000,clarissa-harlowe
486-000,robert-lovelace
486-001,john-belford
486-002,james-harlowe-jr
487-000,robert-lovelace
488-000,james-harlowe-sr
489-000,charlotte-harlowe
490-000,james-harlowe-jr
491-000,arabella-harlowe
492-000,antony-harlowe
492-000,john-harlowe
493-000,robert-lovelace
494-000,robert-lovelace
494-001,william-morden
495-000,robert-lovelace
496-000,john-belford
497-000,john-belford
498-000,richard-mowbray
499-000,robert-lovelace
500-000,john-belford
505-000,william-morden
506-000,john-belford
507-000,james-harlowe-jr
508-000,john-belford
509-000,lord-montague
510-000,john-belford
511-000,john-belford
512-000,john-belford
513-000,john-belford
514-000,robert-lovelace
515-000,john-belford
516-000,john-belford
518-000,william-morden
519-000,john-belford
520-000,john-belford
521-000,annabella-howe
522-000,john-belford
523-000,john-belford
524-000,annabella-howe
525-000,john-belford
526-000,lord-montague
527-000,lord-montague
528-000,lord-montague
529-000,john-belford
530-000,john-belford
531-000,robert-lovelace
532-000,john-belford
533-000,robert-lovelace
534-000,john-belford
535-000,john-belford
535-001,robert-lovelace
535-002,william-morden
536-000,john-belford
